first_transaction_amount,time_to_first_txn,loc_hmg_coeff_0.25,loc_hmg_coeff_0.5,loc_hmg_coeff_0.75,loc_hmg_coeff_1.0,org_fraud_prevalence
9.0,4,0.0,0.0,1.0,0.0,0.0266931055522
2.58,1,0.0,0.0,0.0,1.0,0.0241172898412
1.0,7,0.0,0.0,0.0,1.0,0.0172359266287
80.0,189,0.0,0.0,0.0,1.0,0.0172359266287
1.0,429,0.0,0.0,0.0,1.0,0.0130952380952
3.24,32,0.0,0.0,1.0,0.0,0.0314960629921
2.5,16,0.0,0.0,0.0,1.0,0.0222222222222
1.0,313,0.0,0.0,0.0,1.0,0.0466666666667
1.0,10,0.0,0.0,0.0,1.0,0.0266931055522
10.98,9,0.0,0.0,0.0,1.0,0.0270162892332
1.0,533,0.0,0.0,0.0,1.0,0.062404870624
74.99,19,0.0,0.0,0.0,1.0,0.0293785310734
25.0,10,0.0,0.0,0.0,1.0,0.0246470983643
878.5,0,0.0,0.0,0.0,1.0,0.0240760923412
350.0,29,0.0,0.0,0.0,1.0,0.0222222222222
119.08,28,0.0,0.0,0.0,1.0,0.0266931055522
7.44,128,0.0,0.0,0.0,1.0,0.0
165.0,673,0.0,0.0,0.0,1.0,0.0
50.0,27,0.0,0.0,1.0,0.0,0.0172359266287
27.0,78,0.0,1.0,0.0,0.0,0.0240760923412
1.0,0,0.0,0.0,1.0,0.0,0.0246470983643
10.01,0,0.0,0.0,0.0,1.0,0.0130952380952
819.0,51,0.0,1.0,0.0,0.0,0.0240760923412
1.0,1,0.0,0.0,0.0,1.0,0.0205479452055
224.0,349,0.0,0.0,0.0,1.0,0.0246470983643
95.0,322,0.0,0.0,0.0,1.0,0.0
350.0,19,0.0,0.0,0.0,1.0,0.0252763094666
38.87,10,0.0,0.0,0.0,1.0,0.0241172898412
5.0,2,0.0,0.0,0.0,1.0,0.0246470983643
10.0,0,0.0,1.0,0.0,0.0,0.0466666666667
40.0,11,0.0,0.0,0.0,1.0,0.0
2000.0,2,0.0,0.0,0.0,1.0,0.0386473429952
70.0,0,0.0,0.0,0.0,1.0,0.0240760923412
0.5,0,0.0,1.0,0.0,0.0,0.083615819209
65.0,8,0.0,0.0,0.0,1.0,0.0241172898412
2.49,0,0.0,0.0,0.0,1.0,0.0
1.0,0,0.0,0.0,0.0,1.0,0.0438871473354
63.25,9,0.0,0.0,0.0,1.0,0.0252763094666
24.84,83,0.0,0.0,0.0,1.0,0.083615819209
2437.0,20,0.0,0.0,0.0,1.0,0.0
1.0,12,0.0,0.0,0.0,1.0,0.0252442996743
80.0,8,0.0,0.0,0.0,1.0,0.0
50.0,53,0.0,0.0,0.0,1.0,0.0252763094666
1.0,49,0.0,1.0,0.0,0.0,0.0266931055522
13.0,10,0.0,0.0,0.0,1.0,0.0252763094666
5.0,23,0.0,0.0,0.0,1.0,0.0222222222222
80.0,84,0.0,0.0,0.0,1.0,0.0252763094666
89.99,145,0.0,0.0,0.0,1.0,0.0
269.0,12,0.0,0.0,0.0,1.0,0.0179372197309
62.92,112,0.0,0.0,0.0,1.0,0.0244435612083
646.13,195,0.0,0.0,0.0,1.0,0.0241172898412
770.0,351,0.0,0.0,0.0,1.0,0.0252763094666
20.0,5,0.0,0.0,0.0,1.0,0.0266931055522
1.07,229,0.0,0.0,0.0,1.0,0.0293785310734
0.25,0,0.0,0.0,0.0,1.0,0.0172359266287
1.0,0,0.0,0.0,0.0,1.0,0.0386473429952
25.0,16,0.0,0.0,0.0,1.0,0.0252763094666
445.0,52,0.0,0.0,0.0,1.0,0.0246470983643
250.0,157,0.0,0.0,0.0,1.0,0.0266931055522
36.0,24,0.0,0.0,0.0,1.0,0.0246470983643
1.0,4,0.0,0.0,0.0,1.0,0.0293785310734
123.6,18,0.0,1.0,0.0,0.0,0.0240760923412
1.0,6,0.0,0.0,0.0,1.0,0.0226492793411
10.0,7,0.0,0.0,0.0,1.0,0.0241172898412
0.01,17,0.0,0.0,0.0,1.0,0.083615819209
729.65,15,0.0,0.0,1.0,0.0,0.0293785310734
2.0,9,0.0,0.0,0.0,1.0,0.0
1.5,28,0.0,0.0,0.0,1.0,0.0246470983643
1.5,1,0.0,0.0,0.0,1.0,0.0205479452055
50.0,40,0.0,0.0,0.0,1.0,0.0266931055522
45.0,18,0.0,0.0,0.0,1.0,0.0244435612083
34.0,92,0.0,0.0,0.0,1.0,0.00709219858156
6.0,20,0.0,0.0,0.0,1.0,0.0205479452055
220.0,12,0.0,1.0,0.0,0.0,0.0244435612083
10.0,10,0.0,0.0,0.0,1.0,0.0266931055522
50.0,10,0.0,0.0,0.0,1.0,0.0246470983643
1.0,12,0.0,0.0,0.0,1.0,0.0252763094666
0.01,85,0.0,1.0,0.0,0.0,0.0
1.0,10,0.0,0.0,0.0,1.0,0.0226492793411
1.0,1,0.0,0.0,1.0,0.0,0.0246470983643
1.02,1,0.0,0.0,0.0,1.0,0.0199203187251
10.0,28,0.0,0.0,0.0,1.0,0.0210030004286
0.01,10,0.0,0.0,0.0,1.0,0.0266931055522
0.24,3,0.0,0.0,0.0,1.0,0.0244435612083
1.0,386,0.0,0.0,1.0,0.0,0.0172359266287
5.0,6,0.0,1.0,0.0,0.0,0.0132492113565
115.0,51,0.0,0.0,0.0,1.0,0.0293785310734
150.0,0,0.0,0.0,0.0,1.0,0.0132492113565
10.0,0,0.0,0.0,0.0,1.0,0.0246470983643
1.0,0,0.0,0.0,0.0,1.0,0.0438871473354
3.0,0,0.0,0.0,0.0,1.0,0.0240760923412
32.1,13,0.0,1.0,0.0,0.0,0.0240760923412
